Filename,Run Count,Last Run Date
"D:\code\vue\web\eap-project\src\assets\login-bg.png",3,132602675465454487
"D:\software\Beyond Compare v4.1.3.20814 x64\Beyond Compare",2,132723730022569206
"C:\Users\Admin\AppData\Local\Programs\Microsoft VS Code\_\Code.exe",1,132889299680954257
"D:\cjd_only\wechat\WeChat Files\wxid_20rw4iyzlfh822\FileStorage\File\2022-02\Code.exe",1,132889297213465872
"D:\software\Beyond Compare v4.1.3.20814 x64",1,132723729733354483
"D:\code\vue\avue\avue-data\src\statics\img\info.png",1,132654324184117469
"D:\项目\备份\public\util\screen",1,132654323170290049
"C:\Windows\Web\Screen",1,132654322918220503
"D:\yxt\yuchelian.sass\public\util\screen",1,132654322552052977
"C:\Windows\WinSxS\amd64_c_fscontentscreener.inf.resources_31bf3856ad364e35_10.0.19041.1_zh-cn_bbf5e5051ac647d1",1,132654322163718534
